# 原声 · 在册信源全名单
# 生成于 2026-09-14 13:22
# 在册 207 档 · 已退役 3 档

id                     tier  cat      出稿  名称 / 中文名
riskybusiness             3  ai        0  Risky Business
securitycrypto            3  ai        1  Security Cryptography Whatever
semianalysiswe            3  ai        0  SemiAnalysis Weekly
signalsandthre            3  ai        1  Signals and Threads
theaipolicypod            3  ai        1  The AI Policy Podcast
theinbetweente            3  ai        1  The In-Between Tech and Trust Podcast
twiml                     3  ai        0  The TWIML AI Podcast / TWIML AI
umarjamilai               3  ai        0  umarjamilai
welchlabsvideo            3  ai        1  WelchLabsVideo
zeroknowledge             3  ai        0  Zero Knowledge
bannatiewk                3  biz       0  半拿铁·周刊
beiwanglu                 3  biz       0  贝望录
capallocators             3  biz       0  Capital Allocators
cn18b4d2                  3  biz       0  AI炼金术
cn2d7912                  3  biz       0  罗永浩的十字路口
cn38ff4a                  3  biz       4  高能量
cn677483                  3  biz       0  出海进行时
cna29e88                  3  biz       0  起朱楼宴宾客
colinsamir                3  biz       0  The Colin and Samir Show / Colin and Samir
crossing                  3  biz       1  十字路口Crossing
elsewhere                 3  biz       0  elsewhere别处发生
equity                    3  biz       0  Equity
excessreturns             3  biz       5  Excess Returns
forwardguidanc            3  biz       1  Forward Guidance
founders                  3  biz       0  Founders
geopoliticsdec            3  biz       1  Geopolitics Decanted with Dmitri Alperovitch
hiddenforces              3  biz       2  Hidden Forces
mianji                    3  biz       0  面基
moneymacro                3  biz       1  MoneyMacro
pivot                     3  biz       0  Pivot
spc                       3  biz       1  South Park Commons
googledeepmind            3  edu       1  Google DeepMind
huggingface               3  edu       3  Hugging Face
sentdex                   3  edu       0  sentdex
stanfordhai               3  edu       0  Stanford HAI / 斯坦福 HAI
stanfordonline            3  edu       0  Stanford Online / 斯坦福公开课
statquest                 3  edu       1  StatQuest
weightsbiases             3  edu       0  Weights & Biases
archaeoedpodca            3  hist      0  ArchaeoEd Podcast
cn27f438                  3  hist      1  东腔西调
cn2aa250                  3  hist      7  忽左忽右
extracredits              3  hist      1  ExtraCredits
fallofciviliza            3  hist      0  FallOfCivilizations
hardcore                  3  hist      0  Hardcore History
cn3713e3                  3  ideas     0  无人知晓
cn907a40                  3  ideas     1  故事FM
cnab246b                  3  ideas     0  螺丝在拧紧
dailystoic                3  ideas     0  The Daily Stoic / Daily Stoic
freshair                  3  ideas     0  Fresh Air
galaxybrain               3  ideas     0  Galaxy Brain
increments                3  ideas     0  Increments
invisibilia               3  ideas     0  Invisibilia
nbphilosophy              3  ideas     0  New Books in Philosophy
samharris                 3  ideas     0  Making Sense with Sam Harris / Making Sense
searchengine              3  ideas     0  Search Engine
thinkfast                 3  ideas     2  Think Fast Talk Smart
tokcast                   3  ideas     1  ToKCast
carefeed                  3  parent    0  Care and Feeding
longestshort              3  parent    0  The Longest Shortest Time
academyofideas            3  sci       1  AcademyofIdeas
becauselanguag            3  sci       1  Because Language - a podcast about linguistics, the science of language. / Because Language
cn300980                  3  sci       3  不合时宜
coolworldslab             3  sci       0  CoolWorldsLab
fromfirstprinc            3  sci       1  From First Principles
fromourneurons            3  sci       3  From Our Neurons to Yours
geologybites              3  sci       1  Geology Bites
huberman                  3  sci       6  Huberman Lab
instituteforad            3  sci       0  InstituteForAdvancedStudy
intotheimpossi            3  sci       2  Into the Impossible With Brian Keating
isaacarthur               3  sci       2  IsaacArthur
technologyconn            3  sci       0  TechnologyConnections
thehpspodcastc            3  sci       1  The HPS Podcast - Conversations from History, Philosophy and Social Studies of Science
theoriesofever            3  sci       1  Theories of Everything with Curt Jaimungal
thepeterattiad            3  sci       0  The Peter Attia Drive
thisweekinevol            3  sci       0  This Week in Evolution
thisweekinmicr            3  sci       2  This Week in Microbiology

# 已退役（交过又拿掉的，别再交）：3 档
  cn7f5eeb、every、peteryang
